well,sample,horizon,depth,porosity_pct,perm_mD,Sw,Pc_lab_MPa
300,011103002K02H,Мел,373.94,31.04,5.83,1.0,0.0
300,011103002K02H,Мел,373.94,31.04,5.83,0.95,0.006
300,011103002K02H,Мел,373.94,31.04,5.83,0.88,0.026
300,011103002K02H,Мел,373.94,31.04,5.83,0.82,0.103
300,011103002K02H,Мел,373.94,31.04,5.83,0.68,0.233
300,011103002K02H,Мел,373.94,31.04,5.83,0.56,0.414
300,011103002K02H,Мел,373.94,31.04,5.83,0.45,0.647
300,011103002K02H,Мел,373.94,31.04,5.83,0.4,1.268
300,011103053J02H,Мел,577.33,26.68,7.66,1.0,0.0
300,011103053J02H,Мел,577.33,26.68,7.66,0.98,0.006
300,011103053J02H,Мел,577.33,26.68,7.66,0.94,0.026
300,011103053J02H,Мел,577.33,26.68,7.66,0.89,0.103
300,011103053J02H,Мел,577.33,26.68,7.66,0.74,0.233
300,011103053J02H,Мел,577.33,26.68,7.66,0.61,0.414
300,011103053J02H,Мел,577.33,26.68,7.66,0.48,0.647
300,011103053J02H,Мел,577.33,26.68,7.66,0.41,1.268
300,011103054J01H,Мел,578.6,26.09,3.14,1.0,0.0
300,011103054J01H,Мел,578.6,26.09,3.14,0.98,0.006
300,011103054J01H,Мел,578.6,26.09,3.14,0.94,0.026
300,011103054J01H,Мел,578.6,26.09,3.14,0.89,0.103
300,011103054J01H,Мел,578.6,26.09,3.14,0.77,0.233
300,011103054J01H,Мел,578.6,26.09,3.14,0.65,0.414
300,011103054J01H,Мел,578.6,26.09,3.14,0.51,0.647
300,011103054J01H,Мел,578.6,26.09,3.14,0.44,1.268
300,011103061J01H,Юра,795.78,34.48,138.0,1.0,0.0
300,011103061J01H,Юра,795.78,34.48,138.0,0.93,0.006
300,011103061J01H,Юра,795.78,34.48,138.0,0.82,0.026
300,011103061J01H,Юра,795.78,34.48,138.0,0.68,0.103
300,011103061J01H,Юра,795.78,34.48,138.0,0.47,0.233
300,011103061J01H,Юра,795.78,34.48,138.0,0.32,0.414
300,011103061J01H,Юра,795.78,34.48,138.0,0.25,0.647
300,011103061J01H,Юра,795.78,34.48,138.0,0.23,1.268
300,011103065J05H,Юра,799.69,33.55,85.1,1.0,0.0
300,011103065J05H,Юра,799.69,33.55,85.1,0.93,0.006
300,011103065J05H,Юра,799.69,33.55,85.1,0.84,0.026
300,011103065J05H,Юра,799.69,33.55,85.1,0.74,0.103
300,011103065J05H,Юра,799.69,33.55,85.1,0.55,0.233
300,011103065J05H,Юра,799.69,33.55,85.1,0.44,0.414
300,011103065J05H,Юра,799.69,33.55,85.1,0.33,0.647
300,011103065J05H,Юра,799.69,33.55,85.1,0.29,1.268
300,011103066J03H,Юра,800.49,29.85,8.17,1.0,0.0
300,011103066J03H,Юра,800.49,29.85,8.17,0.94,0.006
300,011103066J03H,Юра,800.49,29.85,8.17,0.87,0.026
300,011103066J03H,Юра,800.49,29.85,8.17,0.76,0.103
300,011103066J03H,Юра,800.49,29.85,8.17,0.6,0.233
300,011103066J03H,Юра,800.49,29.85,8.17,0.47,0.414
300,011103066J03H,Юра,800.49,29.85,8.17,0.36,0.647
300,011103066J03H,Юра,800.49,29.85,8.17,0.31,1.268
300,011103067J01H,Юра,801.08,33.26,3.96,1.0,0.0
300,011103067J01H,Юра,801.08,33.26,3.96,0.97,0.006
300,011103067J01H,Юра,801.08,33.26,3.96,0.9,0.026
300,011103067J01H,Юра,801.08,33.26,3.96,0.83,0.104
300,011103067J01H,Юра,801.08,33.26,3.96,0.64,0.233
300,011103067J01H,Юра,801.08,33.26,3.96,0.43,0.414
300,011103067J01H,Юра,801.08,33.26,3.96,0.33,0.648
300,011103067J01H,Юра,801.08,33.26,3.96,0.27,1.269
300,011103069J02H,Юра,803.28,31.77,27.7,1.0,0.0
300,011103069J02H,Юра,803.28,31.77,27.7,0.93,0.006
300,011103069J02H,Юра,803.28,31.77,27.7,0.84,0.026
300,011103069J02H,Юра,803.28,31.77,27.7,0.73,0.104
300,011103069J02H,Юра,803.28,31.77,27.7,0.54,0.233
300,011103069J02H,Юра,803.28,31.77,27.7,0.42,0.414
300,011103069J02H,Юра,803.28,31.77,27.7,0.32,0.648
300,011103069J02H,Юра,803.28,31.77,27.7,0.29,1.269
300,011103076J01H,Юра,981.07,15.47,26.2,1.0,0.0
